2001-10-31,2001-10-31,kraai,testsuite/basename/basename-does-not-remove-identical-extension
2001-10-31,2001-10-31,kraai,testsuite/cat/cat-prints-a-file
2001-10-31,2001-10-31,kraai,testsuite/cat/cat-prints-a-file-and-standard-input
2001-10-31,2001-10-31,kraai,testsuite/cp/cp-copies-empty-file
2001-10-31,2001-10-31,kraai,testsuite/cp/cp-copies-large-file
2001-10-31,2001-10-31,kraai,testsuite/cp/cp-copies-small-file
2001-10-31,2001-10-31,kraai,testsuite/cp/cp-follows-links
2001-10-31,2001-10-31,kraai,testsuite/cp/cp-preserves-source-file
2001-10-31,2001-10-31,kraai,testsuite/cut/cut-cuts-a-character
2001-10-31,2001-10-31,kraai,testsuite/cut/cut-cuts-a-closed-range
2001-10-31,2001-10-31,kraai,testsuite/cut/cut-cuts-an-open-range
2001-10-31,2001-10-31,kraai,testsuite/cut/cut-cuts-an-unclosed-range
2001-10-31,2001-10-31,kraai,testsuite/dd/dd-accepts-if
2001-10-31,2001-10-31,kraai,testsuite/dd/dd-accepts-of
2001-10-31,2001-10-31,kraai,testsuite/dd/dd-copies-from-standard-input-to-standard-output
2001-10-31,2001-10-31,kraai,testsuite/dd/dd-prints-count-to-standard-error
2001-10-31,2001-10-31,kraai,testsuite/dirname/dirname-handles-absolute-path
2001-10-31,2001-10-31,kraai,testsuite/dirname/dirname-handles-empty-path
2001-10-31,2001-10-31,kraai,testsuite/dirname/dirname-handles-multiple-slashes
2001-10-31,2001-10-31,kraai,testsuite/dirname/dirname-handles-relative-path
2001-10-31,2001-10-31,kraai,testsuite/dirname/dirname-handles-root
2001-10-31,2001-10-31,kraai,testsuite/dirname/dirname-handles-single-component
2001-10-31,2001-10-31,kraai,testsuite/echo/echo-prints-arguments
2001-10-31,2001-10-31,kraai,testsuite/echo/echo-prints-newline
2001-10-31,2001-10-31,kraai,testsuite/false/false-is-silent
2001-10-31,2001-10-31,kraai,testsuite/gzip/gzip-accepts-single-minus
2001-10-31,2001-10-31,kraai,testsuite/mkdir/mkdir-makes-a-directory
2001-10-31,2001-10-31,kraai,testsuite/mkdir/mkdir-makes-parent-directories
2001-10-31,2001-10-31,kraai,testsuite/mv/mv-moves-file
2001-10-31,2001-10-31,kraai,testsuite/rmdir/rmdir-removes-parent-directories
2001-10-31,2001-10-31,kraai,testsuite/tar/tar-extracts-file
2001-10-31,2001-10-31,kraai,testsuite/tee/tee-appends-input
2001-10-31,2001-10-31,kraai,testsuite/tee/tee-tees-input
2001-10-31,2001-10-31,kraai,testsuite/touch/touch-creates-file
2001-10-31,2001-10-31,kraai,testsuite/touch/touch-does-not-create-file
2001-10-31,2001-10-31,kraai,testsuite/true/true-is-silent
2001-10-31,2001-10-31,kraai,testsuite/true/true-returns-success
2001-10-31,2001-10-31,kraai,testsuite/wc/wc-counts-characters
2001-10-31,2001-10-31,kraai,testsuite/wc/wc-counts-lines
2001-10-31,2001-10-31,kraai,testsuite/wc/wc-counts-words
2001-10-31,2001-10-31,kraai,testsuite/wc/wc-prints-longest-line-length
2001-10-31,2002-04-06,kraai,testsuite/tar/tar-handles-multiple-X-options
2001-10-31,2002-04-24,kraai,testsuite/tar/tar-handles-nested-exclude
2001-10-31,2002-04-27,kraai,testsuite/cp/cp-preserves-links
2001-10-31,2002-05-16,kraai,testsuite/tar/tar-handles-exclude-and-extract-lists
