DATE(MEAN)	DATE(MODE)	WHO(MODE)	PATH
2018-10-10	2018-10-08	Domingo Oropeza	inc/mqtt/mqttmiddleware.class.php
2017-12-30	2018-10-30	Domingo Oropeza	inc/mqtt/mqttreceivemessagehandler.class.php
2018-10-15	2018-10-08	Domingo Oropeza	inc/mqtt/mqttreceiver.class.php
2018-10-12	2018-10-08	Domingo Oropeza	inc/mqtt/mqttsender.class.php
2018-12-13	2018-10-08	Domingo Oropeza	inc/mqtt/mqttsendmessagehandler.class.php
2018-10-11	2018-10-10	Domingo Oropeza	inc/mqtt/mqtttransport.class.php
2017-04-04	2016-12-15	btry	inc/mqttacl.class.php
2018-02-05	2018-09-18	Domingo Oropeza	inc/mqttlog.class.php
2017-04-07	2016-12-15	btry	inc/mqttuser.class.php
2017-08-01	2016-12-15	btry	inc/notifiableinterface.class.php
2017-06-09	2016-12-15	btry	inc/notificationtargetinvitation.class.php
2017-09-04	2016-12-15	btry	inc/package.class.php
2017-09-28	2017-09-15	Thierry Bugier	inc/policy.class.php
2017-11-03	2016-12-15	Thierry Bugier	inc/policybase.class.php
2017-06-04	2016-12-15	btry	inc/policyboolean.class.php
2017-07-05	2016-12-15	Thierry Bugier	inc/policycategory.class.php
2017-08-26	2016-12-15	btry	inc/policydeployapplication.class.php
2017-08-06	2016-12-15	btry	inc/policydeployfile.class.php
2017-05-20	2016-12-15	btry	inc/policydropdown.class.php
2017-03-08	2016-12-15	btry	inc/policyfactory.class.php
2017-04-16	2016-12-15	btry	inc/policyinteger.class.php
2017-06-25	2016-12-15	btry	inc/policyinterface.class.php
2017-09-28	2016-12-15	btry	inc/policyremoveapplication.class.php
2017-09-25	2016-12-15	btry	inc/policyremovefile.class.php
2017-05-05	2016-12-15	btry	inc/policystring.class.php
2017-04-28	2016-12-15	btry	inc/profile.class.php
2017-09-27	2016-12-15	Thierry Bugier	inc/task.class.php
2018-04-21	2018-03-23	Thierry Bugier	inc/taskstatus.class.php
2017-05-27	2016-12-15	btry	inc/upkparser.class.php
