DATE(MEAN)	DATE(MODE)	WHO(MODE)	PATH
2016-04-30	2016-04-30	Kasun Delgolla	app-catalog/iDPProxy/src/main/java/org/wso2/emm/agent/proxy/authenticators/ClientAuthenticator.java
2016-04-30	2016-04-30	Kasun Delgolla	app-catalog/iDPProxy/src/main/java/org/wso2/emm/agent/proxy/authenticators/MutualSSLAuthenticator.java
2016-04-30	2016-04-30	Kasun Delgolla	app-catalog/iDPProxy/src/main/java/org/wso2/emm/agent/proxy/authenticators/OAuthAuthenticator.java
2016-04-30	2016-04-30	Kasun Delgolla	app-catalog/iDPProxy/src/main/java/org/wso2/emm/agent/proxy/beans/CredentialInfo.java
2016-04-30	2016-04-30	Kasun Delgolla	app-catalog/iDPProxy/src/main/java/org/wso2/emm/agent/proxy/beans/EndPointInfo.java
2016-04-30	2016-04-30	Kasun Delgolla	app-catalog/iDPProxy/src/main/java/org/wso2/emm/agent/proxy/beans/Token.java
2016-04-30	2016-04-30	Kasun Delgolla	app-catalog/iDPProxy/src/main/java/org/wso2/emm/agent/proxy/clients/CommunicationClient.java
2016-04-30	2016-04-30	Kasun Delgolla	app-catalog/iDPProxy/src/main/java/org/wso2/emm/agent/proxy/clients/CommunicationClientFactory.java
2016-05-04	2016-04-30	Kasun Delgolla	app-catalog/iDPProxy/src/main/java/org/wso2/emm/agent/proxy/clients/MutualSSLClient.java
2016-05-03	2016-04-30	Kasun Delgolla	app-catalog/iDPProxy/src/main/java/org/wso2/emm/agent/proxy/clients/OAuthSSLClient.java
2016-04-30	2016-04-30	Kasun Delgolla	app-catalog/iDPProxy/src/main/java/org/wso2/emm/agent/proxy/interfaces/APIAccessCallBack.java
2016-04-30	2016-04-30	Kasun Delgolla	app-catalog/iDPProxy/src/main/java/org/wso2/emm/agent/proxy/interfaces/APIResultCallBack.java
2016-04-30	2016-04-30	Kasun Delgolla	app-catalog/iDPProxy/src/main/java/org/wso2/emm/agent/proxy/interfaces/AuthenticationCallback.java
2016-04-30	2016-04-30	Kasun Delgolla	app-catalog/iDPProxy/src/main/java/org/wso2/emm/agent/proxy/interfaces/CallBack.java
2016-04-30	2016-04-30	Kasun Delgolla	app-catalog/iDPProxy/src/main/java/org/wso2/emm/agent/proxy/interfaces/TokenCallBack.java
2016-04-30	2016-04-30	Kasun Delgolla	app-catalog/iDPProxy/src/main/java/org/wso2/emm/agent/proxy/utils/Constants.java
2016-04-30	2016-04-30	Kasun Delgolla	app-catalog/iDPProxy/src/main/java/org/wso2/emm/agent/proxy/utils/Keystore.java
2016-04-30	2016-04-30	Kasun Delgolla	app-catalog/iDPProxy/src/main/java/org/wso2/emm/agent/proxy/utils/ServerUtilities.java
2016-04-30	2016-04-30	Kasun Delgolla	app-catalog/iDPProxy/src/main/java/org/wso2/emm/agent/proxy/utils/StreamHandlerUtil.java
2016-04-30	2016-04-30	Kasun Delgolla	app-catalog/iDPProxy/src/main/res/values-v11/styles.xml
